run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,8,"[4003, 6171, 9237, 8023, 8, 3781, 3819, 1627]","[2619, 473, 3, 11, 42, 22, 52, 391]","[300, 72, 87, 138, 27, 285, 154, 439]",2619,439,439,,1297.986,
1,OK,8,"[4109, 9009, 7641, 9766, 9680, 957, 593, 688]","[26, 11, 24, 19, 8, 41, 1025, 55]","[171, 44, 332, 165, 236, 611, 152, 529]",1025,611,611,,1793.032,
2,OK,8,"[9710, 9343, 5863, 4897, 9075, 251, 5671, 6681]","[39, 14, 7, 3389, 221, 1300, 18, 13]","[768, 139, 334, 107, 767, 277, 648, 250]",3389,768,768,,2285.641,
3,OK,8,"[1452, 4762, 6446, 2706, 8328, 6759, 9435, 9584]","[229, 138, 9, 7, 18, 1853, 19, 25]","[115, 224, 104, 47, 104, 306, 227, 226]",1853,306,306,,913.632,
4,OK,8,"[464, 2840, 7847, 5796, 8404, 8505, 8566, 9965]","[79, 42, 13, 570, 47, 136, 4, 20]","[451, 257, 19, 184, 164, 125, 245, 126]",570,451,451,,1339.254,
5,OK,8,"[5910, 1003, 5031, 9264, 78, 1245, 5405, 7389]","[10, 1784, 18, 13, 72, 11, 22, 381]","[320, 150, 237, 198, 373, 390, 191, 278]",1784,390,390,,1164.28,
6,OK,8,"[9070, 7808, 9858, 256, 787, 3072, 4360, 4464]","[26, 28, 21, 10, 18, 10, 12, 403]","[371, 355, 392, 225, 366, 227, 306, 102]",403,392,392,,1153.101,
7,OK,8,"[1592, 2279, 9148, 817, 2824, 1252, 2402, 2138]","[12, 20, 12, 32, 8, 17, 11, 6]","[247, 511, 132, 285, 164, 439, 27, 522]",32,522,522,,1522.767,
8,OK,8,"[603, 9216, 8275, 743, 829, 3997, 1209, 423]","[9, 25, 13, 1376, 1024, 57, 29, 33]","[41, 523, 218, 200, 85, 319, 201, 372]",1376,523,523,,1532.635,
9,OK,8,"[5585, 3713, 846, 5715, 6439, 9133, 5555, 909]","[18, 28, 5, 53, 219, 8, 17, 9]","[157, 65, 305, 533, 321, 397, 300, 161]",219,533,533,,1552.45,
10,OK,8,"[3071, 6133, 9258, 4021, 6806, 5401, 726, 9769]","[27, 58, 926, 30, 63, 165, 89, 2677]","[386, 631, 356, 292, 589, 362, 265, 134]",2677,631,631,,1863.978,
11,OK,8,"[4310, 307, 1300, 8318, 2212, 6705, 7407, 1539]","[179, 705, 49, 16, 64, 15, 153, 23]","[725, 332, 660, 413, 767, 363, 185, 50]",705,767,767,,2237.481,
12,OK,8,"[9030, 359, 5118, 376, 5676, 1602, 8969, 58]","[12, 46, 20, 10, 17, 18, 61, 7]","[471, 77, 352, 376, 632, 296, 70, 184]",61,632,632,,1829.021,
13,OK,8,"[5961, 7839, 7431, 2240, 1424, 2015, 1348, 3739]","[9, 40, 14, 45, 14, 1386, 1500, 307]","[297, 35, 561, 69, 296, 452, 382, 235]",1500,561,561,,1648.001,
14,OK,8,"[916, 874, 9049, 6812, 4879, 2268, 3226, 4029]","[25, 57, 141, 74, 178, 17, 57, 2]","[144, 10, 289, 612, 443, 176, 96, 26]",178,612,612,,1761.685,
15,OK,8,"[7649, 730, 762, 7892, 9036, 9937, 3505, 962]","[395, 31, 31, 11, 15, 1662, 28, 4]","[269, 141, 369, 294, 207, 68, 136, 202]",1662,369,369,,1086.449,
16,OK,8,"[7347, 3145, 7825, 9803, 895, 4795, 4614, 9573]","[14, 8, 272, 8, 17, 650, 41, 4]","[499, 632, 10, 312, 452, 344, 468, 767]",650,767,767,,2227.066,
17,OK,8,"[9262, 6005, 1925, 4033, 5964, 1124, 2206, 2336]","[419, 8, 16, 282, 6, 32, 71, 1]","[1, 15, 124, 49, 676, 572, 122, 9]",419,676,676,,1928.97,
18,OK,8,"[4405, 5453, 9959, 9140, 4424, 740, 8862, 2656]","[2, 76, 7, 32, 30, 200, 14, 11]","[27, 35, 104, 766, 387, 166, 236, 767]",200,767,767,,2207.451,
19,OK,8,"[2974, 2958, 525, 6647, 494, 3194, 519, 550]","[3, 27, 7, 50, 9, 23, 23, 1]","[525, 321, 287, 246, 75, 203, 411, 452]",50,525,525,,1522.272,
20,OK,8,"[4090, 658, 6362, 473, 3564, 6252, 4287, 3317]","[137, 14, 18, 42, 13, 1148, 14, 3]","[299, 336, 295, 3, 279, 33, 731, 549]",1148,731,731,,2110.172,
21,OK,8,"[4717, 1971, 3524, 8630, 1719, 7331, 4500, 5423]","[72, 36, 12, 20, 4, 1243, 11, 5]","[767, 22, 210, 518, 544, 158, 480, 123]",1243,767,767,,2196.2,
22,OK,8,"[4808, 8553, 4628, 42, 6742, 16, 2259, 7758]","[10, 50, 25, 10, 17, 20, 1, 10]","[176, 201, 12, 595, 93, 111, 9, 243]",50,595,595,,1656.978,
23,OK,8,"[3008, 8092, 2749, 8184, 6401, 8386, 4578, 960]","[41, 18, 10, 9, 24, 38, 45, 371]","[340, 415, 669, 522, 512, 139, 260, 290]",371,669,669,,1899.976,
24,OK,8,"[7097, 5268, 779, 2351, 1861, 7904, 3626, 6066]","[11, 8, 6, 19, 34, 65, 46, 9]","[215, 209, 220, 357, 614, 295, 356, 270]",65,614,614,,1732.722,
25,OK,8,"[3382, 2881, 7951, 2434, 9098, 6641, 4609, 5576]","[5, 85, 19, 9, 37, 23, 6, 246]","[630, 543, 267, 179, 60, 767, 370, 11]",246,767,767,,2177.659,
26,OK,8,"[1489, 1421, 2772, 9196, 6797, 9804, 4260, 7425]","[13, 9, 32, 7, 8, 2, 17, 102]","[116, 423, 220, 306, 223, 217, 573, 517]",102,573,573,,1630.641,
27,OK,8,"[9880, 2666, 6622, 7055, 3189, 4016, 5151, 3303]","[27, 1, 8, 60, 37, 9, 71, 32]","[265, 164, 163, 11, 33, 8, 431, 224]",71,431,431,,1214.874,
28,OK,8,"[1912, 297, 4144, 3687, 6561, 1403, 1506, 1012]","[6, 2, 12, 44, 1, 44, 929, 16]","[107, 457, 349, 765, 454, 137, 328, 237]",929,765,765,,2180.93,
29,OK,8,"[1594, 6597, 7479, 9164, 134, 5011, 1318, 8838]","[128, 6, 7, 72, 1, 22, 6, 37]","[70, 205, 40, 53, 211, 491, 273, 463]",128,491,491,,1392.559,
30,OK,8,"[5152, 5937, 7339, 579, 1508, 4697, 153, 7502]","[3, 50, 1, 37, 12, 3, 1, 43]","[113, 220, 9, 386, 189, 190, 49, 25]",50,386,386,,1088.884,
31,OK,8,"[7759, 4657, 693, 258, 439, 8288, 6304, 5603]","[11, 24, 739, 351, 21, 17, 71, 105]","[359, 286, 8, 378, 398, 26, 353, 553]",739,553,553,,1589.919,
32,OK,8,"[4977, 8692, 7912, 6839, 9287, 2647, 9722, 804]","[8, 85, 10, 125, 292, 72, 1384, 13]","[407, 195, 303, 55, 171, 767, 1, 233]",1384,767,767,,2162.767,
33,OK,8,"[3326, 2663, 1112, 2347, 8199, 1029, 3982, 3213]","[56, 6, 67, 9, 19, 441, 135, 7]","[35, 111, 678, 10, 357, 3, 305, 173]",441,678,678,,1893.844,
34,OK,8,"[1384, 1110, 2906, 7137, 9794, 1118, 2627, 8355]","[23, 35, 50, 409, 2, 112, 19, 784]","[703, 32, 286, 212, 695, 435, 376, 633]",784,703,703,,2053.32,
35,OK,8,"[8324, 3655, 9173, 4760, 8330, 9372, 5484, 7739]","[8, 9, 9, 1, 11, 18, 28, 19]","[112, 315, 52, 442, 269, 433, 397, 326]",28,442,442,,1284.41,
36,OK,8,"[1805, 912, 3526, 8847, 4569, 2964, 1908, 1888]","[2, 5, 9, 97, 66, 8, 7, 205]","[580, 88, 293, 115, 709, 501, 27, 46]",205,709,709,,2048.725,
37,OK,8,"[1777, 3778, 1864, 6695, 1992, 884, 7089, 9227]","[18, 5, 9, 22, 34, 11, 5, 21]","[282, 126, 527, 176, 677, 90, 350, 670]",34,677,677,,1966.847,
38,OK,8,"[3160, 2585, 5338, 534, 8478, 9857, 3765, 1928]","[21, 15, 98, 81, 81, 518, 26, 23]","[452, 85, 45, 605, 385, 126, 411, 608]",518,608,608,,1757.104,
39,OK,8,"[4750, 7259, 4693, 2056, 4100, 2619, 4179, 1735]","[5, 12, 363, 156, 3, 19, 8, 23]","[229, 9, 705, 391, 36, 74, 165, 481]",363,705,705,,2039.42,
40,OK,8,"[843, 3727, 7812, 5342, 9198, 4252, 155, 8208]","[6, 13, 3, 863, 170, 52, 8, 6]","[32, 99, 222, 146, 138, 546, 333, 381]",863,546,546,,1583.62,
41,OK,8,"[8798, 2125, 1105, 7778, 6607, 1818, 6998, 2016]","[2, 35, 15, 13, 156, 183, 442, 24]","[426, 609, 338, 512, 261, 641, 363, 73]",442,641,641,,1878.366,
42,OK,8,"[7638, 3488, 5605, 3789, 5213, 7415, 8455, 8178]","[73, 31, 1, 19, 111, 57, 22, 9]","[249, 269, 769, 280, 299, 436, 243, 169]",111,769,769,,2198.582,
43,OK,8,"[9462, 56, 6769, 5887, 7701, 9266, 5266, 7657]","[1011, 268, 25, 11, 1165, 12, 20, 8]","[175, 593, 373, 238, 13, 189, 770, 283]",1165,770,770,,2249.989,
44,OK,8,"[9957, 2053, 8432, 1779, 8143, 6213, 6463, 4668]","[25, 3, 1032, 7, 12, 4, 39, 2]","[280, 86, 49, 254, 75, 236, 526, 189]",1032,526,526,,1520.506,
45,OK,8,"[7260, 6945, 2092, 8155, 888, 3023, 7444, 7477]","[15, 69, 89, 32, 44, 1385, 22, 660]","[145, 506, 685, 554, 251, 67, 130, 26]",1385,685,685,,1985.721,
46,OK,8,"[708, 5169, 1843, 3865, 8949, 3048, 4119, 8716]","[9, 938, 29, 46, 10, 48, 4, 76]","[721, 219, 277, 345, 288, 769, 103, 525]",938,769,769,,2210.933,
47,OK,8,"[6180, 2381, 9763, 4875, 6317, 6901, 1007, 5257]","[14, 20, 764, 6, 8, 108, 326, 7]","[778, 51, 31, 191, 333, 315, 484, 229]",764,778,778,,2209.2,
48,OK,8,"[1765, 5026, 1858, 183, 3470, 7248, 5339, 9658]","[63, 65, 42, 55, 1, 127, 33, 18]","[271, 1482, 52, 2, 9, 334, 246, 295]",127,1482,1482,,4241.155,
49,OK,8,"[9771, 3410, 4223, 67, 9787, 6992, 8865, 2487]","[101, 15, 3, 1, 10, 35, 29, 1]","[151, 288, 88, 337, 74, 543, 368, 770]",101,770,770,,2255.683,
