run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,4,"[4003, 6171, 9237, 8023]","[2619, 473, 3, 11]","[300, 72, 87, 138]",2619,300,300,,3399.273,
1,OK,4,"[8, 3781, 3819, 1627]","[42, 22, 52, 391]","[27, 285, 154, 439]",391,439,439,,4687.269,
2,OK,4,"[4109, 9009, 7641, 9766]","[26, 11, 24, 19]","[171, 44, 332, 165]",26,332,332,,3528.231,
3,OK,4,"[9680, 957, 593, 688]","[8, 41, 1025, 55]","[236, 611, 152, 529]",1025,611,611,,6585.764,
4,OK,4,"[9710, 9343, 5863, 4897]","[39, 14, 7, 3389]","[768, 139, 334, 107]",3389,768,768,,8302.026,
5,OK,4,"[9075, 251, 5671, 6681]","[221, 1300, 18, 13]","[767, 277, 648, 250]",1300,767,767,,8319.508,
6,OK,4,"[1452, 4762, 6446, 2706]","[229, 138, 9, 7]","[115, 224, 104, 47]",229,224,224,,2392.355,
7,OK,4,"[8328, 6759, 9435, 9584]","[18, 1853, 19, 25]","[104, 306, 227, 226]",1853,306,306,,3415.454,
8,OK,4,"[464, 2840, 7847, 5796]","[79, 42, 13, 570]","[451, 257, 19, 184]",570,451,451,,4800.586,
9,OK,4,"[8404, 8505, 8566, 9965]","[47, 136, 4, 20]","[164, 125, 245, 126]",136,245,245,,2616.615,
10,OK,4,"[5910, 1003, 5031, 9264]","[10, 1784, 18, 13]","[320, 150, 237, 198]",1784,320,320,,3506.765,
11,OK,4,"[78, 1245, 5405, 7389]","[72, 11, 22, 381]","[373, 390, 191, 278]",381,390,390,,4206.564,
12,OK,4,"[9070, 7808, 9858, 256]","[26, 28, 21, 10]","[371, 355, 392, 225]",28,392,392,,4215.719,
13,OK,4,"[787, 3072, 4360, 4464]","[18, 10, 12, 403]","[366, 227, 306, 102]",403,366,366,,3916.133,
14,OK,4,"[1592, 2279, 9148, 817]","[12, 20, 12, 32]","[247, 511, 132, 285]",32,511,511,,5428.203,
15,OK,4,"[2824, 1252, 2402, 2138]","[8, 17, 11, 6]","[164, 439, 27, 522]",17,522,522,,5561.14,
16,OK,4,"[603, 9216, 8275, 743]","[9, 25, 13, 1376]","[41, 523, 218, 200]",1376,523,523,,5629.334,
17,OK,4,"[829, 3997, 1209, 423]","[1024, 57, 29, 33]","[85, 319, 201, 372]",1024,372,372,,4028.091,
18,OK,4,"[5585, 3713, 846, 5715]","[18, 28, 5, 53]","[157, 65, 305, 533]",53,533,533,,5660.666,
19,OK,4,"[6439, 9133, 5555, 909]","[219, 8, 17, 9]","[321, 397, 300, 161]",219,397,397,,4269.258,
20,OK,4,"[3071, 6133, 9258, 4021]","[27, 58, 926, 30]","[386, 631, 356, 292]",926,631,631,,6802.736,
21,OK,4,"[6806, 5401, 726, 9769]","[63, 165, 89, 2677]","[589, 362, 265, 134]",2677,589,589,,6436.862,
22,OK,4,"[4310, 307, 1300, 8318]","[179, 705, 49, 16]","[725, 332, 660, 413]",705,725,725,,7875.547,
23,OK,4,"[2212, 6705, 7407, 1539]","[64, 15, 153, 23]","[767, 363, 185, 50]",153,767,767,,8134.057,
24,OK,4,"[9030, 359, 5118, 376]","[12, 46, 20, 10]","[471, 77, 352, 376]",46,471,471,,5049.505,
25,OK,4,"[5676, 1602, 8969, 58]","[17, 18, 61, 7]","[632, 296, 70, 184]",61,632,632,,6707.856,
26,OK,4,"[5961, 7839, 7431, 2240]","[9, 40, 14, 45]","[297, 35, 561, 69]",45,561,561,,5963.11,
27,OK,4,"[1424, 2015, 1348, 3739]","[14, 1386, 1500, 307]","[296, 452, 382, 235]",1500,452,452,,5182.158,
28,OK,4,"[916, 874, 9049, 6812]","[25, 57, 141, 74]","[144, 10, 289, 612]",141,612,612,,6512.154,
29,OK,4,"[4879, 2268, 3226, 4029]","[178, 17, 57, 2]","[443, 176, 96, 26]",178,443,443,,4697.159,
30,OK,4,"[7649, 730, 762, 7892]","[395, 31, 31, 11]","[269, 141, 369, 294]",395,369,369,,3988.536,
31,OK,4,"[9036, 9937, 3505, 962]","[15, 1662, 28, 4]","[207, 68, 136, 202]",1662,207,207,,2299.73,
32,OK,4,"[7347, 3145, 7825, 9803]","[14, 8, 272, 8]","[499, 632, 10, 312]",272,632,632,,6776.062,
33,OK,4,"[895, 4795, 4614, 9573]","[17, 650, 41, 4]","[452, 344, 468, 767]",650,767,767,,8263.422,
34,OK,4,"[9262, 6005, 1925, 4033]","[419, 8, 16, 282]","[1, 15, 124, 49]",419,124,124,,1343.234,
35,OK,4,"[5964, 1124, 2206, 2336]","[6, 32, 71, 1]","[676, 572, 122, 9]",71,676,676,,7224.456,
36,OK,4,"[4405, 5453, 9959, 9140]","[2, 76, 7, 32]","[27, 35, 104, 766]",76,766,766,,8076.576,
37,OK,4,"[4424, 740, 8862, 2656]","[30, 200, 14, 11]","[387, 166, 236, 767]",200,767,767,,8169.176,
38,OK,4,"[2974, 2958, 525, 6647]","[3, 27, 7, 50]","[525, 321, 287, 246]",50,525,525,,5605.753,
39,OK,4,"[494, 3194, 519, 550]","[9, 23, 23, 1]","[75, 203, 411, 452]",23,452,452,,4853.107,
40,OK,4,"[4090, 658, 6362, 473]","[137, 14, 18, 42]","[299, 336, 295, 3]",137,336,336,,3625.884,
41,OK,4,"[3564, 6252, 4287, 3317]","[13, 1148, 14, 3]","[279, 33, 731, 549]",1148,731,731,,7866.046,
42,OK,4,"[4717, 1971, 3524, 8630]","[72, 36, 12, 20]","[767, 22, 210, 518]",72,767,767,,8177.62,
43,OK,4,"[1719, 7331, 4500, 5423]","[4, 1243, 11, 5]","[544, 158, 480, 123]",1243,544,544,,5893.995,
44,OK,4,"[4808, 8553, 4628, 42]","[10, 50, 25, 10]","[176, 201, 12, 595]",50,595,595,,6309.505,
45,OK,4,"[6742, 16, 2259, 7758]","[17, 20, 1, 10]","[93, 111, 9, 243]",20,243,243,,2591.435,
46,OK,4,"[3008, 8092, 2749, 8184]","[41, 18, 10, 9]","[340, 415, 669, 522]",41,669,669,,7198.0,
47,OK,4,"[6401, 8386, 4578, 960]","[24, 38, 45, 371]","[512, 139, 260, 290]",371,512,512,,5480.097,
48,OK,4,"[7097, 5268, 779, 2351]","[11, 8, 6, 19]","[215, 209, 220, 357]",19,357,357,,3824.392,
49,OK,4,"[1861, 7904, 3626, 6066]","[34, 65, 46, 9]","[614, 295, 356, 270]",65,614,614,,6553.169,
