run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,8,"[4003, 6171, 9237, 8023, 8, 3781, 3819, 1627]","[8, 15, 12, 15, 25, 51, 29, 50]","[1043, 189, 418, 301, 1418, 461, 576, 1031]",51,1418,1418,,9111.541,
1,OK,8,"[4109, 9009, 7641, 9766, 9680, 957, 593, 688]","[55, 10, 27, 16, 28, 19, 28, 28]","[232, 834, 720, 560, 1296, 450, 356, 1811]",55,1811,1811,,11595.45,
2,OK,8,"[9710, 9343, 5863, 4897, 9075, 251, 5671, 6681]","[56, 38, 58, 31, 34, 25, 22, 40]","[1835, 692, 1511, 2357, 179, 350, 124, 321]",58,2357,2357,,15240.338,
3,OK,8,"[1452, 4762, 6446, 2706, 8328, 6759, 9435, 9584]","[35, 19, 11, 32, 54, 31, 30, 29]","[896, 1601, 1475, 375, 1172, 523, 1059, 550]",54,1601,1601,,10543.819,
4,OK,8,"[464, 2840, 7847, 5796, 8404, 8505, 8566, 9965]","[33, 33, 11, 36, 18, 28, 24, 32]","[1053, 597, 1409, 1996, 604, 394, 262, 235]",36,1996,1996,,12803.587,
5,OK,8,"[5910, 1003, 5031, 9264, 78, 1245, 5405, 7389]","[19, 14, 30, 41, 40, 6, 18, 22]","[167, 503, 1229, 1440, 786, 641, 1924, 1238]",41,1924,1924,,12503.528,
6,OK,8,"[9070, 7808, 9858, 256, 787, 3072, 4360, 4464]","[25, 65, 32, 18, 38, 9, 40, 25]","[840, 1328, 1032, 1685, 193, 616, 562, 948]",65,1685,1685,,10962.141,
7,OK,8,"[1592, 2279, 9148, 817, 2824, 1252, 2402, 2138]","[36, 13, 21, 31, 22, 24, 44, 17]","[771, 383, 1324, 1569, 718, 1027, 967, 667]",44,1569,1569,,10252.013,
8,OK,8,"[603, 9216, 8275, 743, 829, 3997, 1209, 423]","[49, 16, 49, 75, 49, 16, 31, 7]","[1018, 287, 870, 187, 904, 217, 318, 585]",75,1018,1018,,6578.475,
9,OK,8,"[5585, 3713, 846, 5715, 6439, 9133, 5555, 909]","[19, 38, 24, 8, 54, 14, 8, 9]","[610, 196, 518, 1215, 259, 243, 299, 566]",54,1215,1215,,7625.057,
10,OK,8,"[3071, 6133, 9258, 4021, 6806, 5401, 726, 9769]","[48, 11, 12, 24, 61, 15, 51, 53]","[1567, 235, 287, 423, 1309, 286, 424, 344]",61,1567,1567,,9998.267,
11,OK,8,"[4310, 307, 1300, 8318, 2212, 6705, 7407, 1539]","[36, 23, 56, 22, 18, 37, 37, 12]","[880, 658, 319, 895, 526, 1007, 263, 896]",56,1007,1007,,6618.291,
12,OK,8,"[9030, 359, 5118, 376, 5676, 1602, 8969, 58]","[27, 39, 9, 27, 42, 49, 51, 35]","[302, 1342, 258, 1705, 1888, 651, 217, 475]",51,1888,1888,,12307.802,
13,OK,8,"[5961, 7839, 7431, 2240, 1424, 2015, 1348, 3739]","[22, 30, 27, 26, 41, 32, 25, 10]","[377, 835, 328, 927, 178, 452, 2274, 348]",41,2274,2274,,14233.309,
14,OK,8,"[916, 874, 9049, 6812, 4879, 2268, 3226, 4029]","[39, 30, 51, 11, 17, 30, 19, 6]","[451, 245, 470, 585, 197, 558, 474, 454]",51,585,585,,3833.31,
15,OK,8,"[7649, 730, 762, 7892, 9036, 9937, 3505, 962]","[51, 32, 64, 44, 13, 26, 22, 36]","[1003, 272, 209, 1626, 287, 280, 1407, 928]",64,1626,1626,,10506.832,
16,OK,8,"[7347, 3145, 7825, 9803, 895, 4795, 4614, 9573]","[21, 8, 18, 36, 57, 39, 52, 12]","[426, 1174, 591, 597, 211, 1175, 1095, 1367]",57,1367,1367,,8949.631,
17,OK,8,"[9262, 6005, 1925, 4033, 5964, 1124, 2206, 2336]","[58, 43, 60, 8, 62, 16, 23, 14]","[486, 448, 846, 428, 251, 404, 398, 679]",62,846,846,,5448.278,
