run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,16,"[4003, 6171, 9237, 8023, 8, 3781, 3819, 1627, 4109, 9009, 7641, 9766, 9680, 957, 593, 688]","[8, 15, 12, 15, 25, 51, 29, 50, 55, 10, 27, 16, 28, 19, 28, 28]","[1043, 189, 418, 301, 1418, 461, 576, 1031, 232, 834, 720, 560, 1296, 450, 356, 1811]",55,1811,1811,,20224.129,
1,OK,16,"[9710, 9343, 5863, 4897, 9075, 251, 5671, 6681, 1452, 4762, 6446, 2706, 8328, 6759, 9435, 9584]","[56, 38, 58, 31, 34, 25, 22, 40, 35, 19, 11, 32, 54, 31, 30, 29]","[1835, 692, 1511, 2357, 179, 350, 124, 321, 896, 1601, 1475, 375, 1172, 523, 1059, 550]",58,2357,2357,,26726.059,
2,OK,16,"[464, 2840, 7847, 5796, 8404, 8505, 8566, 9965, 5910, 1003, 5031, 9264, 78, 1245, 5405, 7389]","[33, 33, 11, 36, 18, 28, 24, 32, 19, 14, 30, 41, 40, 6, 18, 22]","[1053, 597, 1409, 1996, 604, 394, 262, 235, 167, 503, 1229, 1440, 786, 641, 1924, 1238]",41,1996,1996,,22749.858,
3,OK,16,"[9070, 7808, 9858, 256, 787, 3072, 4360, 4464, 1592, 2279, 9148, 817, 2824, 1252, 2402, 2138]","[25, 65, 32, 18, 38, 9, 40, 25, 36, 13, 21, 31, 22, 24, 44, 17]","[840, 1328, 1032, 1685, 193, 616, 562, 948, 771, 383, 1324, 1569, 718, 1027, 967, 667]",65,1685,1685,,19285.119,
4,OK,16,"[603, 9216, 8275, 743, 829, 3997, 1209, 423, 5585, 3713, 846, 5715, 6439, 9133, 5555, 909]","[49, 16, 49, 75, 49, 16, 31, 7, 19, 38, 24, 8, 54, 14, 8, 9]","[1018, 287, 870, 187, 904, 217, 318, 585, 610, 196, 518, 1215, 259, 243, 299, 566]",75,1215,1215,,13443.275,
5,OK,16,"[3071, 6133, 9258, 4021, 6806, 5401, 726, 9769, 4310, 307, 1300, 8318, 2212, 6705, 7407, 1539]","[48, 11, 12, 24, 61, 15, 51, 53, 36, 23, 56, 22, 18, 37, 37, 12]","[1567, 235, 287, 423, 1309, 286, 424, 344, 880, 658, 319, 895, 526, 1007, 263, 896]",61,1567,1567,,17438.884,
6,OK,16,"[9030, 359, 5118, 376, 5676, 1602, 8969, 58, 5961, 7839, 7431, 2240, 1424, 2015, 1348, 3739]","[27, 39, 9, 27, 42, 49, 51, 35, 22, 30, 27, 26, 41, 32, 25, 10]","[302, 1342, 258, 1705, 1888, 651, 217, 475, 377, 835, 328, 927, 178, 452, 2274, 348]",51,2274,2274,,25516.101,
7,OK,16,"[916, 874, 9049, 6812, 4879, 2268, 3226, 4029, 7649, 730, 762, 7892, 9036, 9937, 3505, 962]","[39, 30, 51, 11, 17, 30, 19, 6, 51, 32, 64, 44, 13, 26, 22, 36]","[451, 245, 470, 585, 197, 558, 474, 454, 1003, 272, 209, 1626, 287, 280, 1407, 928]",64,1626,1626,,18015.872,
8,OK,16,"[7347, 3145, 7825, 9803, 895, 4795, 4614, 9573, 9262, 6005, 1925, 4033, 5964, 1124, 2206, 2336]","[21, 8, 18, 36, 57, 39, 52, 12, 58, 43, 60, 8, 62, 16, 23, 14]","[426, 1174, 591, 597, 211, 1175, 1095, 1367, 486, 448, 846, 428, 251, 404, 398, 679]",62,1367,1367,,15333.416,
9,OK,16,"[4405, 5453, 9959, 9140, 4424, 740, 8862, 2656, 2974, 2958, 525, 6647, 494, 3194, 519, 550]","[57, 16, 40, 20, 41, 10, 42, 45, 41, 18, 25, 25, 40, 64, 61, 36]","[390, 270, 402, 2259, 632, 1114, 619, 255, 584, 576, 204, 1130, 667, 521, 1529, 842]",64,2259,2259,,25044.843,
